结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260323,销售单,安踏大货唯品会,112448802A-3,1,132.36,599.0000
20260323,销售单,安踏大货唯品会,112518841R-4,1,79.38,399.0000
20260323,销售单,安踏大货唯品会,112525543R-2,93,11597.58,31527.0000
20260323,销售单,安踏大货唯品会,112535545-3,55,8903.58,21945.0000
20260323,销售单,安踏大货唯品会,112617717R-1,0,91.82,0.0000
20260323,销售单,安踏大货唯品会,122517718-11,1,107.18,399.0000
20260323,销售单,安踏大货唯品会,122538003U-3,6,741.492195,1494.0000
20260323,销售单,安踏大货唯品会,122545591-1,2,504.18,998.0000
20260323,销售单,安踏大货唯品会,152447417U-1,1,46.18,199.0000
20260323,销售单,安踏大货唯品会,152447973U-4,1,95.018863,399.0000
20260323,销售单,安踏大货唯品会,152517326U-5,26,2782.11902,6214.0000
20260323,销售单,安踏大货唯品会,152611313S-1,21,4036.8141459999997,5649.0000
20260323,销售单,安踏大货唯品会,162446601-5,1,270.64,1299.0000
20260323,销售单,安踏大货唯品会,162447904-1,1,270.584,1099.0000
20260323,销售单,安踏大货唯品会,172441708-3,39,3722.1,15561.0000
20260323,销售单,安踏大货唯品会,1825214103-1,1,26.58,69.0000
20260323,销售单,安踏大货唯品会,1825332708-2,1,27.06,59.0000
20260323,销售单,安踏大货唯品会,192448976U-3,1,44.58,199.0000
20260323,销售单,安踏大货唯品会,912445509-3,1,75.44,399.0000
20260323,销售单,安踏大货唯品会,912445595-2,4,955.04,3196.0000
20260323,销售单,安踏大货唯品会,912448811-3,1,98.78,299.0000
20260323,销售单,安踏大货唯品会,912521110Q-10,32,6235.92,25568.0000
20260323,销售单,安踏大货唯品会,912521606Q-2,21,4169.4,10479.0000
20260323,销售单,安踏大货唯品会,912538042-3,35,3210.0860000000002,8715.0000
20260323,销售单,安踏大货唯品会,912548802-6,2,266.08849399999997,678.0000
20260323,销售单,安踏大货唯品会,912615556F-7,1,95.726799,269.0000
20260323,销售单,安踏大货唯品会,922425537-3,48,7479.42,22512.0000
20260323,销售单,安踏大货唯品会,922528822-3,82,12151.02,32718.0000
20260323,销售单,安踏大货唯品会,922535513-4,25,3033.287317,7475.0000
20260323,销售单,安踏大货唯品会,922548077-8,0,59.84,0.0000
20260323,销售单,安踏大货唯品会,922615541-12,13,1765.58,2587.0000
20260323,销售单,安踏大货唯品会,952517509-4,5,595.9,1695.0000
20260323,销售单,安踏大货唯品会,952525103-1,45,2810.697059,5355.0000
20260323,销售单,安踏大货唯品会,952548307-1,2,162.44,398.0000
20260323,销售单,安踏大货唯品会,952548704-1,-1,-84.32,-299.0000
20260323,销售单,安踏大货唯品会,962547313-1,4,346.781463,796.0000
20260323,退货单,快手-安踏户外鞋服旗舰店,952547514N-4,-1,-99.0,-169.0000
20260323,退货单,快手-安踏户外鞋服旗舰店,972618705N-2,-2,-218.0,-398.0000
20260323,退货单,快手-安踏户外鞋服旗舰店,972618705N-8,-2,-218.0,-398.0000
20260323,退货单,抖音-安踏运动旗舰店,112531604Q-4,-1,-279.0,-399.0000
20260323,退货单,天猫-anta安踏安鸿专卖店,912345512-10,-1,-149.0,-269.0000
20260323,退货单,拼多多-安踏运动旗舰店,112518841R-2,-4,-431.64,-1596.0000
20260323,退货单,抖音-安踏泉州专卖2店,112615543R-1,-2,-638.0,-998.0000
20260323,退货单,安踏大货唯品会,912421604S-5,-9,-903.0,-3591.0000
20260323,换货单,天猫-安踏官方网店,112548893-4,1,209.0,299.0000
20260323,退货单,安踏大货唯品会,912618895-2,-1,-240.804878,-469.0000
20260323,退货单,安踏大货唯品会,112615570R-2,-2,-868.7317069999999,-1598.0000
20260323,退货单,天猫-安踏官方网店,112525587R-1,-6,-2579.1200000000003,-4794.0000
20260323,退货单,拼多多-郑州安发安踏锋锐专卖店,912524401F-2,-1,-197.0,-399.0000
20260323,退货单,天猫-安踏官方网店,922548923-2,-1,-206.0,-339.0000
20260323,退货单,得物-安踏直发店,912531606S-2,-3,-847.0,-1647.0000
20260323,退货单,拼多多-郑州安发安踏锋锐专卖店,952357302-2,-1,-75.0,-199.0000
20260323,退货单,安踏大货唯品会,112538853U-1,-1,-152.902439,-299.0000
20260323,退货单,天猫-安踏官方网店,112546677A-3,-1,-699.0,-999.0000
20260323,退货单,安踏大货唯品会,112435583S-1,-2,-413.0,-1198.0000
20260323,退货单,安踏大货唯品会,112548071-6,-1,-239.0,-399.0000
20260323,退货单,安踏大货唯品会,112537703-5,-4,-611.07317,-1356.0000
20260323,退货单,安踏大货唯品会,122545581-1,-3,-977.0,-1497.0000
20260323,退货单,京东-安踏官方旗舰店,152447750S-4,-1,-209.0,-339.0000
